player,transfermarkt_id,transfermarkt_name,tm_market_value
José Raúl Rangel,802855,Raúl Rangel,6500000.0
Jorge Eduardo Sanchez,356044,Jorge Sánchez,2000000.0
César Jasib Montes,387687,César Montes,7500000.0
Edson Omar Alvarez,401356,Edson Álvarez,15000000.0
Johan Felipe Vasquez,532937,Johan Vásquez,12000000.0
Erik Antonio Lira,602324,Érik Lira,12000000.0
Luis Francisco Romo,532938,Luis Romo,3000000.0
Álvaro Fidalgo,261503,Álvaro Fidalgo,6000000.0
Raúl Alonso Jimenez,206040,Raúl Jiménez,3000000.0
Ernesto Alexis Vega,424689,Alexis Vega,8000000.0
Santiago Tomás Gimenez,552955,Santiago Gimenez,18000000.0
Carlos Acevedo,356042,Carlos Acevedo,2800000.0
Francisco Guillermo Ochoa,29559,Guillermo Ochoa,250000.0
Armando Gonzalez,837619,Armando González,15000000.0
Israel Reyes,687558,Israel Reyes,6500000.0
Julián Andrés Quinones,416090,Julián Quiñones,14000000.0
Orbelín Pineda,334042,Orbelín Pineda,7000000.0
Obed Goméz Vargas,889435,Obed Vargas,10000000.0
Gilberto Rafael Mora,1155723,Gilberto Mora,10000000.0
Mateo Chavez,1066953,Mateo Chávez,4000000.0
César Saúl Huerta,540315,César Huerta,3500000.0
Guillermo Martinez,347932,Guillermo Martínez,1500000.0
Jesús Daniel Gallardo,344854,Jesús Gallardo,2800000.0
Luis Gerardo Chavez,331059,Luis Chávez,6000000.0
Roberto Carlos Alvarado,353583,Roberto Alvarado,7500000.0
Brian Gutierrez,724443,Brian Gutiérrez,8000000.0
Ronwen Hayden Williams,175577,Ronwen Williams,800000.0
Khulumani Ndamane,1283140,Khulumani Ndamane,1200000.0
Teboho Mokoena,436372,Teboho Mokoena,2800000.0
Aubrey Maphosa Modiba,353432,Aubrey Modiba,1800000.0
Oswin Reagan Appollis,673381,Oswin Appollis,2500000.0
Tshepang Moremi,844485,Tshepang Moremi,1400000.0
Lyle Brent Foster,467623,Lyle Foster,8000000.0
Relebohile Mofokeng,1125037,Relebohile Mofokeng,3000000.0
Themba Zwane,176578,Themba Zwane,250000.0
Thapelo Maseko,983330,Thapelo Maseko,750000.0
Mbekezeli Mfanufikile Mbokazi,1378320,Mbekezeli Mbokazi,3500000.0
Iqraam Rayners,337884,Iqraam Rayners,2800000.0
Samukele Alucious Kabini,1175086,Samukele Kabini,2500000.0
Nkosinathi Emmanuel Sibisi,399068,Nkosinathi Sibisi,1600000.0
Khuliso Johnson Mudau,450806,Khuliso Mudau,1200000.0
Ime Daniel Okon,1107265,Ime Okon,2000000.0
Stuart Ricardo Goss,258304,Ricardo Goss,350000.0
Jayden Oswin Adams,804472,Jayden Adams,1800000.0
Olwethu Mpilwenhle Makhanya,1069801,Olwethu Makhanya,2000000.0
Bradley Paul Cross,555209,Bradley Cross,1000000.0
Jens Castrop,613192,Jens Castrop,10000000.0
David Zima,544149,David Zima,7000000.0
Tomáš Holes,216278,Tomas Holes,1000000.0
Robin Hranac,620217,Robin Hranac,10000000.0
Vladimír Coufal,157672,Vladimír Coufal,2500000.0
Ladislav Krejci,345911,Ladislav Krejci,22000000.0
Vladimír Darida,179643,Vladimír Darida,375000.0
Adam Hlozek,552057,Adam Hlozek,10000000.0
Patrik Schick,242086,Patrik Schick,18000000.0
Jan Kuchta,334802,Jan Kuchta,2700000.0
Lukáš Cerv,611049,Lukas Cerv,6000000.0
Mojmír Chytil,405855,Mojmír Chytil,4000000.0
David Jurasek,500054,David Jurásek,5000000.0
Pavel Sulc,500053,Pavel Sulc,20000000.0
Lukáš Provod,292779,Lukas Provod,8000000.0
Michal Sadilek,321204,Michal Sadílek,8000000.0
Tomáš Chory,198614,Tomas Chory,2700000.0
Jaroslav Zeleny,142219,Jaroslav Zelený,600000.0
David Doudera,493758,David Doudera,3500000.0
Tomáš Soucek,283628,Tomáš Souček,10000000.0
Lukáš Hornicek,629773,Lukas Hornicek,18000000.0
Alexandr Sojka,826103,Alexandr Sojka,2300000.0
Hugo Sochurek,1206877,Hugo Sochurek,3500000.0
Denis Visinsky,652060,Denis Visinsky,3000000.0
Dayne Tristan St. Clair,439750,Dayne St. Clair,3500000.0
Alistair William Johnston,637446,Alistair Johnston,8000000.0
Alfie Charles Jones,340990,Alfie Jones,6000000.0
Luc De Fougerolles,921995,Luc De Fougerolles,1000000.0
