team,players,avg_age,median_age,avg_height,median_height,avg_caps,median_caps,total_caps,avg_market_value,median_market_value,total_market_value,goalkeepers,defenders,midfielders,forwards,pct_goalkeepers,pct_defenders,pct_midfielders,pct_forwards
Algeria,26,26.85736850418575,26.35044490075291,182.65384615384616,183.0,30.5,18.0,793,8813110.0,4906432.0,229140860,3,9,7,7,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692
Argentina,26,29.11820144263676,28.28747433264887,179.57692307692307,178.0,48.73076923076923,45.0,1267,39424594.0,23500000.0,1025039444,3,8,8,7,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692
Australia,26,27.359448217764438,27.117043121149898,183.57692307692307,183.5,28.884615384615383,15.5,751,3078418.9615384615,1400000.0,80038893,3,10,5,8,0.11538461538461539,0.38461538461538464,0.19230769230769232,0.3076923076923077
Austria,26,28.61148844311062,28.814510609171798,184.96153846153845,185.5,39.23076923076923,32.0,1020,9381470.884615384,7500000.0,243918243,3,8,11,4,0.11538461538461539,0.3076923076923077,0.4230769230769231,0.15384615384615385
Belgium,26,27.61448954878113,25.756331279945243,185.80769230769232,185.5,42.34615384615385,30.0,1101,24387152.730769232,24790371.0,634065971,3,9,8,6,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078
Bosnia and Herzegovina,26,26.4564839677776,27.676933607118414,187.07692307692307,188.5,23.576923076923077,16.0,613,5630769.230769231,2650000.0,146400000,3,8,8,7,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692
Brazil,26,29.36302848417838,29.010266940451746,183.1153846153846,183.5,35.84615384615385,23.5,932,34355092.807692304,34393364.0,893232413,3,8,6,9,0.11538461538461539,0.3076923076923077,0.23076923076923078,0.34615384615384615
Cabo Verde,26,29.676407097351653,29.28815879534565,181.34615384615384,180.0,32.34615384615385,25.5,841,3666401.9615384615,3280280.0,95326451,3,8,12,3,0.11538461538461539,0.3076923076923077,0.46153846153846156,0.11538461538461539
Canada,26,26.972674143105355,26.62286105407255,182.30769230769232,183.0,37.42307692307692,28.5,973,7855135.5,3750000.0,204233523,3,9,7,7,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692
Colombia,26,30.089296056441846,29.7015742642026,180.0,180.0,40.73076923076923,35.5,1059,17728590.730769232,17038186.5,460943359,3,9,8,6,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078
Congo DR,26,29.06870952456168,29.420944558521562,181.0,182.0,31.0,28.0,806,5886070.692307692,3250000.0,153037838,3,8,8,7,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692
