team,team_id,elo,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against,squad_players,squad_avg_age,squad_median_age,squad_avg_height,squad_median_height,squad_avg_caps,squad_median_caps,squad_total_caps,squad_avg_market_value,squad_median_market_value,squad_total_market_value,squad_goalkeepers,squad_defenders,squad_midfielders,squad_forwards,squad_pct_goalkeepers,squad_pct_defenders,squad_pct_midfielders,squad_pct_forwards
Mexico,1,2025.3027903755703,25,28.0,48.5,4,44,360,4.0,8,7,15,8,0,0,2,1,2.0,1.75,3.75,2.0,3.75,25,27.9,51.5,4,44,360,4.0,0,0,0,0,0,0,7,3,0.0,0.0,0.0,0.0,0.0,50,16,32.0,12.5,4.0,0.16,0.5,32,6,18.8,8.0,1.5,0.0,0.0,90,100,82,23,20,18,39,3.0,8,0,8,2.0,90,100,82,24,19,24,40,0.0,0,8,-8,-2.0,0,44,41,4,37,29,26,,,0,0,41,41,9,68,21,33,,,0,4,4,360,0,0.0,6,6,100.0,4,0,0,4,100.0,0,0,0,0,,4,4,360,8,2.0,16,8,50.0,0,0,4,0,0.0,0,0,0,0,,26,27.900700257989783,28.521560574948666,179.5,178.0,47.57692307692308,40.5,1237,15842558.038461538,15321605.5,411906509,3,7,8,8,0.1153846153846153,0.2692307692307692,0.3076923076923077,0.3076923076923077
South Africa,2,1686.4334978551574,19,27.1,48.0,4,44,360,4.0,2,1,3,1,1,1,5,2,0.5,0.25,0.75,0.25,0.5,19,28.1,52.0,4,44,360,4.0,4,3,7,4,0,0,5,1,1.0,0.75,1.75,1.0,1.75,39,11,28.2,9.75,2.75,0.03,0.09,50,17,34.0,12.5,4.25,0.08,0.24,90,100,83,30,13,21,42,1.0,2,4,-2,-0.5,90,100,83,23,20,26,38,1.75,4,2,2,0.5,0,38,46,8,41,47,38,,,0,0,49,38,3,73,29,34,,,0,4,4,360,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,0,,4,4,360,2,0.5,11,9,81.8,2,1,1,2,50.0,1,1,0,0,0.0,26,26.80840309587743,25.89185489390828,178.84615384615384,178.5,20.692307692307693,12.5,538,1834615.3846153845,1500000.0,47700000,3,10,5,8,0.1153846153846153,0.3846153846153846,0.1923076923076923,0.3076923076923077
South Korea,3,1863.1573856162663,20,28.6,63.0,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33,20,27.7,37.0,3,33,270,3.0,3,2,5,3,0,0,1,0,1.0,0.67,1.67,1.0,1.67,32,11,34.4,10.67,3.67,0.06,0.18,28,12,42.9,9.33,4.0,0.11,0.25,90,100,78,18,15,26,30,1.0,2,3,-1,-0.33,90,100,78,21,12,18,30,2.0,3,2,1,0.33,0,25,31,8,54,20,23,,,0,0,32,25,8,28,29,20,,,0,3,3,270,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,3,3,270,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,,26,28.065708418891173,28.514715947980836,181.92307692307693,181.0,37.46153846153846,25.5,974,5348076.923076923,2000000.0,139050000,3,9,11,3,0.1153846153846153,0.3461538461538461,0.4230769230769231,0.1153846153846153
Czechia,4,1812.4999707613135,21,28.2,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,21,27.6,57.3,3,33,270,3.0,6,5,11,5,1,1,4,0,2.0,1.67,3.67,1.67,3.33,34,8,23.5,11.33,2.67,0.06,0.25,43,15,34.9,14.33,5.0,0.12,0.33,90,100,80,20,14,22,29,0.33,2,6,-4,-1.33,90,100,80,20,13,20,30,2.33,6,2,4,1.33,0,37,31,5,57,19,19,,,0,0,32,35,5,42,27,23,,,0,3,3,270,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0,,26,27.620807665982205,27.07460643394935,185.73076923076923,188.0,28.384615384615383,23.0,738,7197762.692307692,5500000.0,187141830,3,9,7,7,0.1153846153846153,0.3461538461538461,0.2692307692307692,0.2692307692307692
Canada,5,1910.7827130442151,21,27.4,56.8,4,44,360,4.0,8,3,11,8,0,0,7,0,2.0,0.75,2.75,2.0,2.75,21,27.8,43.3,4,44,360,4.0,3,3,6,3,0,0,5,2,0.75,0.75,1.5,0.75,1.5,70,28,40.0,17.5,7.0,0.11,0.29,22,8,36.4,5.5,2.0,0.14,0.38,90,100,79,24,20,24,36,1.75,9,3,6,1.5,90,100,79,25,18,21,40,1.0,3,9,-6,-1.5,0,48,59,5,117,31,41,,,0,0,59,48,3,27,42,44,,,1,4,4,360,3,0.75,8,5,62.5,2,1,1,2,50.0,0,0,0,0,,4,4,360,9,2.25,25,16,64.0,1,1,2,0,0.0,0,0,0,0,,26,26.972674143105355,26.62286105407255,182.30769230769232,183.0,37.42307692307692,28.5,973,7855135.5,3750000.0,204233523,3,9,7,7,0.1153846153846153,0.3461538461538461,0.2692307692307692,0.2692307692307692
Bosnia and Herzegovina,6,1677.446304180127,23,27.0,46.0,4,44,360,4.0,4,3,7,4,0,0,7,1,1.0,0.75,1.75,1.0,1.75,23,29.2,54.0,4,44,360,4.0,8,4,12,7,1,1,4,1,2.0,1.0,3.0,1.75,2.75,37,14,37.8,9.25,3.5,0.11,0.29,43,16,37.2,10.75,4.0,0.16,0.44,90,100,79,23,20,24,39,1.0,5,8,-3,-0.75,90,100,79,25,18,17,37,1.75,8,5,3,0.75,0,60,38,2,57,34,37,,,0,0,38,58,10,77,20,42,,,1,4,4,360,8,2.0,14,6,42.9,1,1,2,0,0.0,1,1,0,0,0.0,4,4,360,5,1.25,15,10,66.7,2,1,1,1,25.0,0,0,0,0,,26,26.4564839677776,27.676933607118418,187.07692307692307,188.5,23.576923076923077,16.0,613,5630769.230769231,2650000.0,146400000,3,8,8,7,0.1153846153846153,0.3076923076923077,0.3076923076923077,0.2692307692307692
Qatar,7,1540.08248772755,22,30.1,33.0,3,33,270,3.0,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33,22,28.3,67.0,3,33,270,3.0,8,3,11,7,1,1,3,0,2.67,1.0,3.67,2.33,3.33,18,7,38.9,6.0,2.33,0.11,0.29,72,22,30.6,24.0,7.33,0.1,0.32,90,100,75,17,15,27,28,0.33,2,10,-8,-2.67,90,100,75,18,15,23,28,2.33,10,2,8,2.67,0,36,28,4,28,25,24,,,2,0,29,36,3,112,17,20,,,0,3,3,270,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,7,5,71.4,2,1,0,1,33.3,0,0,0,0,,26,29.50771336808298,29.59753593429158,179.3846153846154,180.0,61.0,50.0,1586,4665383.692307692,4593629.5,121299976,3,9,5,9,0.1153846153846153,0.3461538461538461,0.1923076923076923,0.3461538461538461
Switzerland,8,2020.9768242248017,21,29.9,61.7,3,33,270,3.0,7,4,11,5,2,2,3,0,2.33,1.33,3.67,1.67,3.0,21,28.1,38.3,3,33,270,3.0,3,2,5,3,0,0,6,1,1.0,0.67,1.67,1.0,1.67,45,18,40.0,15.0,6.0,0.11,0.28,25,14,56.0,8.33,4.67,0.12,0.21,90,100,84,18,15,13,28,2.33,7,3,4,1.33,90,100,84,17,15,20,28,0.33,3,7,-4,-1.33,0,37,42,5,63,16,27,,,0,0,43,37,4,46,35,18,,,0,3,3,270,3,1.0,14,11,78.6,2,1,0,0,0.0,0,0,0,0,,3,3,270,7,2.33,17,10,58.8,0,1,2,0,0.0,2,2,0,0,0.0,26,28.3070604959722,28.91581108829569,185.23076923076923,183.5,44.15384615384615,29.5,1148,13737866.076923076,10000000.0,357184518,3,8,8,7,0.1153846153846153,0.3076923076923077,0.3076923076923077,0.2692307692307692
Brazil,9,2137.772186909461,22,29.6,57.8,4,44,360,4.0,9,8,17,9,0,0,7,0,2.25,2.0,4.25,2.25,4.25,22,28.1,42.3,4,44,360,4.0,2,1,3,2,0,0,7,0,0.5,0.25,0.75,0.5,0.75,60,26,43.3,15.0,6.5,0.15,0.35,40,13,32.5,10.0,3.25,0.05,0.15,90,100,80,25,19,23,37,2.5,9,2,7,1.75,90,100,80,24,20,18,40,0.25,2,9,-7,-1.75,0,44,47,10,77,37,37,,,0,0,51,43,5,59,20,39,,,0,4,4,360,2,0.5,13,11,84.6,3,1,0,2,50.0,0,0,0,0,,4,4,360,9,2.25,24,15,62.5,0,1,3,0,0.0,0,0,0,0,,26,29.36302848417838,29.010266940451743,183.1153846153846,183.5,35.84615384615385,23.5,932,34355092.807692304,34393364.0,893232413,3,8,6,9,0.1153846153846153,0.3076923076923077,0.2307692307692307,0.3461538461538461
Morocco,10,2026.3762033186931,20,26.3,61.8,4,44,390,4.3,7,6,13,7,0,0,2,0,1.62,1.38,3.0,1.62,3.0,20,28.9,38.3,4,44,390,4.3,3,3,6,3,0,0,6,0,0.69,0.69,1.38,0.69,1.38,59,21,35.6,13.62,4.85,0.12,0.33,33,9,27.3,7.62,2.08,0.09,0.33,98,100,89,25,19,20,41,2.0,7,4,3,0.69,98,100,89,23,21,24,38,0.5,4,7,-3,-0.69,0,47,59,6,65,26,46,,,1,0,63,46,4,42,39,44,,,0,4,4,390,4,0.92,10,6,60.0,3,1,0,1,25.0,0,0,0,0,,4,4,390,7,1.62,23,16,69.6,0,1,3,0,0.0,0,0,0,0,,26,26.598957510661823,25.869952087611225,182.3846153846154,182.5,27.807692307692307,17.0,723,17567467.46153846,11000000.0,456754154,3,9,9,5,0.1153846153846153,0.3461538461538461,0.3461538461538461,0.1923076923076923
