date,team,elo
2026-07-03,Argentina,2231.246611279349
2026-07-06,Spain,2217.8134525914484
2026-07-04,France,2177.707499795615
2026-07-05,Brazil,2137.772186909461
2026-07-05,England,2101.616035404103
2026-07-03,Colombia,2100.8517222529968
2026-07-06,Portugal,2094.6621236614824
2026-06-29,Netherlands,2060.8115633575544
2026-06-29,Germany,2038.2424069249116
2026-07-06,Belgium,2036.616444137268
2026-07-04,Morocco,2026.3762033186931
2026-07-05,Mexico,2025.3027903755703
2026-07-02,Switzerland,2020.9768242248017
2026-06-29,Japan,2020.2224009165304
2026-07-05,Norway,2000.8487986285604
2026-06-30,Ecuador,1984.2886010012537
2026-07-02,Croatia,1969.9587696027936
2026-06-07,Italy,1965.9494211734968
2026-06-07,Denmark,1965.7281021367592
2026-06-26,Uruguay,1944.7020082536992
2026-07-02,Austria,1941.1863243484495
2026-06-25,Turkey,1936.4810602825576
2026-06-26,Iran,1916.1702740630392
2026-07-02,Algeria,1912.0101438372303
2026-07-04,Canada,1910.7827130442151
2026-07-06,United States,1906.13767214718
2026-07-01,Senegal,1903.8350001709616
2026-07-03,Australia,1903.017444155559
2025-11-15,Basque Country,1894.159940991171
2026-07-04,Paraguay,1892.325656238688
2026-06-09,Russia,1872.06860587376
2026-06-30,Ivory Coast,1867.125543452421
2026-06-07,Ukraine,1865.287940978864
2026-06-24,South Korea,1863.1573856162663
2026-06-10,Nigeria,1852.1987812611171
1992-03-25,Yugoslavia,1851.581790102277
2026-07-03,Egypt,1844.1517510246272
2026-06-09,Chile,1841.727110250941
2026-06-24,Scotland,1834.560378777142
2026-06-30,Sweden,1826.19350766496
2026-06-09,Venezuela,1823.8165888695864
1993-11-17,Czechoslovakia,1823.3590101980203
2026-06-07,Greece,1820.312903866135
2025-07-18,Jersey,1813.97934271252
2026-06-24,Czech Republic,1812.4999707613135
2026-06-04,Serbia,1810.6570920632043
2026-06-03,Poland,1808.4738668293928
2026-06-09,Hungary,1797.4792655826573
1990-09-12,German DR,1782.181086330701
2026-06-05,Republic of Ireland,1780.645632722635
2026-06-07,Kosovo,1777.004702521844
2026-07-01,DR Congo,1776.8172781032583
2026-06-08,Peru,1776.2979745439943
2026-06-27,Panama,1769.746718379106
2026-06-27,Uzbekistan,1765.9219069044923
2019-03-25,Catalonia,1765.3518437243488
2026-06-07,Slovenia,1764.170174926049
